,武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
1131,岡本,良勝,48,57,48,54,49,105,103,256,-,おかもと,よしかつ,1544年,1559年,1600年,57,-,家名存続,突撃,速攻,全軍突撃,才覚,7,-,岡本良勝,織田家臣。信長の三男・信孝は良勝の屋敷で生まれたという。のち主家を出奔、豊臣家に仕え伊勢亀山城主となる。関ヶ原合戦では西軍に属し、戦後自害した。,0,0,0
1132,山路,正国,44,64,37,50,40,108,90,235,-,やまじ,まさくに,1546年,1561年,1583年,38,-,領地保全,突撃,速攻,全軍突撃,実利,11,-,山路正国,柴田家臣。正幽の次男。賤ヶ岳合戦では主君・勝豊とともに羽柴秀吉に属すが、のちに寝返る。佐久間盛政に中入れ作戦を進言し、自らも従軍するが戦死した。,0,0,0
1133,拝郷,家嘉,48,71,55,43,46,119,89,263,-,はいごう,いえよし,1549年,1564年,1583年,35,-,家名存続,急襲,猛攻,全軍突撃,勲功,5,-,拝郷家嘉,柴田家臣。大聖寺城主。北陸戦線で柴田勝家に従い、戦功を挙げる。賎ヶ岳の戦いでは羽柴軍を圧倒するが、羽柴秀吉の機転により劣勢に立たされて討死した。,0,0,0
1134,土岐,頼芸,43,30,68,61,66,73,127,268,土岐政房,とき,よりのり,1502年,1517年,1582年,81,-,所領拡大,足止め,回避,神出鬼没,芸道,4,-,土岐頼芸,美濃守護。家臣・斎藤道三と結んで兄・政頼を追放し、家督を継ぐ。しかし、のちに道三に美濃を追われた。一時和睦して帰国するが再び追放され、流浪した。,1,0,0
1135,遠山,友忠,55,58,55,61,58,113,119,287,遠山友勝,とおやま,ともただ,1531年,1546年,1605年,75,-,家名存続,急襲,復帰,囮挑発,実利,8,-,遠山友忠,美濃の豪族。苗木城主。友勝の子。織田家に従って武田家と戦う。信玄の娘婿・木曾義昌を織田家に寝返らせた。のちに森長可と争って出奔、徳川家康を頼る。,1,0,0
1136,雲林院,祐基,46,42,36,44,36,88,80,204,長野稙藤,うじい,すけもと,1528年,1543年,1587年,60,-,領地保全,用心,斥候,神出鬼没,勲功,7,-,雲林院祐基,長野家臣。長野稙藤の子。雲林院家は長野祐尊（長野工藤家初代当主・祐政の次男）を祖とする。織田信包に雲林院城を追われるが、その後は織田家に仕えた。,1,0,0
1137,小山田,信有,62,73,72,60,67,135,127,334,-,おやまだ,のぶあり,1519年,1534年,1552年,34,-,家名存続,急襲,復帰,囮挑発,家名,6,-,小山田信有,武田家臣。越中守信有の子。出羽守を称した。志賀城攻略、上田原合戦などで活躍。砥石城攻略戦で重傷を負い、死去した。葬儀には１万人が参列したという。,0,0,0
1138,河原,綱家,60,59,73,75,75,119,150,342,-,かわはら,つないえ,1556年,1571年,1634年,79,-,所領拡大,逆撫で,地利,囮挑発,家名,6,-,河原綱家,真田家臣。昌幸の従兄。長篠の戦いで兄を失い家督を継ぐ。関ヶ原合戦では真田親子の会談を覗き見し、激怒した昌幸に下駄を投げつけられ、前歯を折られた。,0,0,0
1139,出浦,盛清,67,78,79,53,67,145,120,344,-,いでうら,もりきよ,1546年,1561年,1623年,78,-,所領拡大,忍法雲隠,伏兵,神出鬼没,実利,8,-,出浦盛清,武田家臣。出浦城主。村上義清の氏族。甲州忍者の棟梁。武田家に仕える。武田家滅亡後、真田家に仕える。棟梁でありながら、自らも忍び働きを行った。,0,0,0
1140,清野,清秀,53,44,67,59,64,97,123,287,-,きよの,きよひで,1493年,1508年,1560年,68,-,領地保全,足止め,回避,神出鬼没,家名,5,-,清野清秀,村上家臣。主家に背いた家臣を討ったり真田幸隆と戦うなど、主家の勢力維持に尽力。主君・義清の信濃退去に従い、のちに義清の子・国清の教育係を務めた。,0,0,0
1141,楽巌寺,雅方,69,71,40,45,39,140,84,264,-,らくがんじ,まさかた,1509年,1524年,1558年,50,-,家名存続,突撃,速攻,全軍突撃,勲功,9,-,楽巌寺雅方,村上家臣。楽巌寺城主。もとは楽巌寺の僧であったという。１５４８年頃、武田信玄に居城を奪われ、砥石城に逃れる。主家の滅亡後は武田信玄に臣従した。,0,0,0
1142,小笠原,長時,69,73,31,45,32,142,77,250,小笠原長棟,おがさわら,ながとき,1514年,1534年,1583年,70,-,所領拡大,突撃,速攻,全軍突撃,家名,9,-,小笠原長時,信濃守護。長棟の長男。武田信玄に信濃を追われ、越後・摂津・会津など諸国を流浪する。子・貞慶が家康の下で旧領に復帰するが、戻ることなく死亡した。,1,0,0
1143,小笠原,貞種,50,62,40,39,36,112,75,227,小笠原長棟,おがさわら,さだたね,1523年,1538年,1587年,65,-,家督継承,急襲,復帰,囮挑発,家名,9,-,小笠原貞種,小笠原家臣。長時の弟。諸国を流浪したあと、上杉景勝の後援で深志城を奪還。しかし、甥・貞慶が徳川家康の助力を得て信濃に入国すると、城を明け渡した。,1,0,0
1144,二木,重高,53,49,55,60,57,102,117,274,-,ふたつぎ,しげたか,1511年,1526年,1560年,50,-,領地保全,臨戦,万全,囮挑発,実利,8,-,二木重高,小笠原家臣。塩尻峠合戦では主家を裏切り主家大敗の要因を作るが、その後は一門をあげて主君・長時を補佐した。長時が摂津へ去ったあとは武田家に仕えた。,0,0,0
1145,高遠,頼継,57,47,63,38,48,104,86,253,-,たかとお,よりつぐ,1503年,1518年,1552年,50,-,家名存続,足止め,回避,神出鬼没,家名,8,-,高遠頼継,信濃の豪族。高遠家は諏訪信員を祖とする諏訪家の庶流。武田信玄と結び諏訪宗家を滅ぼす。諏訪家総領の座を欲して挙兵するも、信玄の攻撃を受けて滅んだ。,0,0,0
1146,三木,直頼,65,58,63,72,69,123,141,327,-,みつき,なおより,1497年,1512年,1554年,58,-,所領拡大,逆撫で,地利,囮挑発,勲功,11,-,三木直頼,飛騨の豪族。桜洞城を築いて居城とし、版図を拡大する。飛騨国司・姉小路家や美濃の土岐家、本願寺などと友好関係を結び、飛騨国内に一大勢力を築いた。,0,0,0
1147,黒川,清実,71,60,71,62,68,131,130,332,-,くろかわ,きよざね,1510年,1525年,1559年,50,-,所領拡大,挟撃巧者,疾走,神出鬼没,才覚,9,-,黒川清実,上杉家臣。蒲原郡奥山荘北条（黒川）を領した。上条定憲の乱の際は、はじめ長尾為景に属すが、のち上条方に転じた。乱後に帰参し、郡司不入を認められた。,0,0,0
1148,長尾,晴景,35,26,61,67,65,61,132,254,長尾為景,ながお,はるかげ,1509年,1524年,1553年,45,-,家名存続,気勢崩し,堅固,囮挑発,家名,4,-,長尾晴景,越後の戦国大名。為景の嫡男。父の死後に家督を継ぐ。しかし病弱で統率力に欠けたため諸将から反発を受け、上杉定実の調停のもと弟・景虎に家督を譲った。,1,0,0
1149,長尾,房長,37,60,75,71,74,97,145,317,-,ながお,ふさなが,1503年,1518年,1552年,50,-,家名存続,足止め,回避,神出鬼没,家名,5,-,長尾房長,長尾家臣。魚沼郡上田荘を領した。上条定憲の乱に呼応し主家に敵対する。しかし定憲の戦死、越後守護・上杉定実の死去により劣勢となり、主家と和睦した。,0,0,0
1150,樋口,兼豊,70,63,75,77,78,133,155,363,-,ひぐち,かねとよ,1539年,1554年,1602年,64,-,所領拡大,激励,堅固,囮挑発,家名,5,-,樋口兼豊,上杉家臣。直峰城主。直江兼続の父。上杉家の会津転封に従う。兼続が不在の際には米沢城の留守役を務めた。最上家の諜報なども行い、上杉家に尽くした。,0,0,0
1151,甘粕,景持,80,83,80,58,64,163,122,365,-,あまかす,かげもち,1535年,1550年,1604年,70,-,所領拡大,越後二天,強撃,全軍突撃,家名,6,-,甘粕景持,上杉家臣。三条城主。初名は長重。第四次川中島合戦では殿軍を務め、妻女山を襲撃した武田軍別働隊と戦う。謙信の死後は景勝に仕えて数々の戦功を立てた。,0,0,0
1152,傑山,雲勝,68,25,65,64,72,93,136,294,-,けつざん,うんしょう,1540年,1555年,1614年,75,-,領地保全,策士,強撃,神出鬼没,才覚,5,-,傑山雲勝,上杉家臣・本庄家菩提寺の長楽寺住職。本庄繁長の軍師として、数々の献策を行い、補佐した。上杉家が越後から会津に転封されると、繁長とともに移った。,0,0,0
1153,神保,覚広,53,45,61,62,63,98,125,284,-,じんぼう,ただひろ,1523年,1538年,1577年,55,-,家名存続,気勢崩し,堅固,囮挑発,実利,6,-,神保覚広,神保家臣。神保家の一族。主家の内紛により上杉家との関係が悪化した際、関係修復に尽力した。のちに居城・火宮城を一向一揆に落とされ、石動山に逃れた。,0,0,0
1154,温井,続宗,48,40,60,57,59,88,116,264,温井総貞,ぬくい,つぐむね,1513年,1528年,1560年,48,-,所領拡大,足止め,回避,神出鬼没,家名,8,-,温井続宗,畠山家臣。総貞の子。父を軍事面で補佐し、温井家を家中最大の勢力に発展させた。父が主君・義綱に殺されたあと、一族とともに謀叛を起こすが、敗死した。,1,0,0
1155,小間,常光,37,49,56,57,56,86,113,255,-,こま,つねみつ,1514年,1529年,1573年,60,-,家名存続,足止め,回避,神出鬼没,家名,7,-,小間常光,椎名家臣。小間家は椎名家重臣の家柄という。神保家や領内の寺社、能登畠山家に書状を出すなど、おもに外交に手腕を発揮した。主君・長常の偏諱を受けた。,0,0,0
1156,椎名,康胤,45,54,40,48,42,99,90,229,-,しいな,やすたね,1499年,1514年,1576年,78,-,領地保全,突撃,速攻,全軍突撃,家名,9,-,椎名康胤,越中の豪族。松倉城主。上杉謙信の従兄弟・長尾景直を養子とし、謙信と結ぶ。しかし、のちに武田家と結んだため、謙信に攻められて敗れ、戦死したという。,0,0,0
1157,富樫,晴貞,52,58,47,57,51,110,108,265,-,とがし,はるさだ,1516年,1531年,1570年,55,-,家名存続,突撃,速攻,全軍突撃,家名,6,-,富樫晴貞,野々市城主。稙泰の子。父が享徳の錯乱により能登に逃れたあと、家督を継ぐ。織田信長の越前侵攻軍に通じたため、一揆勢に居城を攻撃され敗北、自害した。,0,0,0
1158,山崎,吉家,52,45,72,71,73,97,144,313,-,やまざき,よしいえ,1516年,1531年,1573年,58,-,所領拡大,策士,強撃,神出鬼没,勲功,4,-,山崎吉家,朝倉家臣。軍略に優れる。朝倉宗滴に従い、加賀一向一揆などで活躍する。姉川の戦いの後、森可成を討ち取るが、のちに織田軍の猛攻を受けて戦死した。,0,0,0
1159,堀江,景忠,64,50,60,59,61,114,120,294,-,ほりえ,かげただ,1527年,1542年,1576年,50,-,所領拡大,用心,斥候,神出鬼没,才覚,9,-,堀江景忠,朝倉家臣。各地で功を立てるが、謀叛疑惑により能登に退去させられる。織田家に通じて本領を回復するが、一向一揆討伐の恩賞に不満を表したため殺された。,0,0,0
1160,武田,元光,58,46,63,71,69,104,140,307,-,たけだ,もとみつ,1494年,1509年,1551年,58,-,領地保全,急襲,復帰,囮挑発,家名,7,-,武田元光,若狭守護。後瀬山城を築き居城とする。管領・細川高国の要請により上洛するが三好・柳本軍に敗れ、将軍・足利義晴を奉じて近江に逃れた。和歌に優れた。,0,0,0
1161,武田,元明,45,33,49,54,50,78,104,231,武田義統,たけだ,もとあき,1552年,1567年,1582年,31,-,所領拡大,臨戦,万全,囮挑発,家名,6,-,武田元明,若狭守護。義統の長男。朝倉義景に攻められ、越前に幽閉される。朝倉家滅亡後は若狭に帰国した。本能寺の変後は明智光秀に属すが、光秀の死後、殺された。,1,0,0
1162,粟屋,勝久,63,62,67,48,57,125,105,297,-,あわや,かつひさ,1523年,1538年,1585年,63,-,領地保全,突撃,速攻,全軍突撃,勲功,4,-,粟屋勝久,若狭武田家臣。国吉城主。のち織田信長に属して各地を転戦する。旧主・元明が蟄居させられた際は、赦免を信長に嘆願した。本能寺の変後は豊臣秀吉に属す。,0,0,0
1163,粟屋,光若,54,64,58,57,57,118,114,290,-,あわや,みつわか,1516年,1531年,1575年,60,-,領地保全,急襲,復帰,囮挑発,勲功,5,-,粟屋光若,若狭武田家臣。山内城主。家長の子。奉行人を務め、また信豊・義統の２代に侍大将として仕えた。永禄年間（１５５８～１５７０）に各地を転戦し活躍した。,0,0,0
1164,湯浅,隆貞,37,74,43,64,52,111,116,270,-,ゆあさ,たかさだ,1560年,1575年,1600年,41,-,家名存続,突撃,速攻,全軍突撃,家名,4,-,湯浅隆貞,大谷家臣。関ヶ原合戦で吉継の自害を介錯する。吉継の首級を埋めたが敵の藤堂高刑に見つかり、主の首の場所の秘匿を高刑に願って、自らの首を差し出した。,0,0,0
1165,浅井,亮親,71,68,76,64,72,139,136,351,-,あざい,すけちか,1519年,1534年,1573年,55,-,所領拡大,逆撫で,地利,囮挑発,家名,5,-,浅井亮親,浅井家庶流。宗家当主・長政が織田信長との同盟を破棄しようとした際、強硬に反対する。のち、小谷城の戦いで織田軍に敗れると捕虜となり、処断された。,0,0,0
1166,堀,秀村,69,56,67,64,67,125,131,323,-,ほり,ひでむら,1557年,1572年,1599年,43,-,所領拡大,用心,斥候,神出鬼没,勲功,6,-,堀秀村,浅井家臣。鎌刃城主。姉川合戦で織田家に寝返る。浅井家に鎌刃城を奪われるが戦勝後、決死の奮戦をたたえられ、鎌刃城主に戻る。のち豊臣家に仕えた。,0,0,0
1167,雨森,弥兵衛,64,55,69,74,73,119,147,335,-,あめのもり,やへえ,1514年,1529年,1573年,60,-,領地保全,逆撫で,地利,囮挑発,家名,6,-,雨森弥兵衛,浅井家臣。雨森城主。名は清貞。海北綱親・赤尾清綱と共に「海赤雨三将」と称された。浅井家滅亡後、雨森氏は各地に離散した。,0,0,0
1168,安養寺,氏種,45,34,71,75,75,79,150,300,-,あんようじ,うじたね,1536年,1551年,1606年,71,-,家名存続,気勢崩し,堅固,囮挑発,才覚,4,-,安養寺氏種,浅井家臣。近江の豪族。浅井長政と織田信長の妹・市の縁組を仲介した。姉川合戦で織田家の捕虜となるが、浅井勢追撃の非を進言したため、解放された。,0,0,0
1169,多賀,貞能,43,49,55,56,55,92,111,258,-,たが,さだよし,1515年,1530年,1587年,73,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,8,-,多賀貞能,浅井家臣。主家滅亡後、織田家に従う。本能寺の変では明智光秀に従ったため、所領を没収された。堀秀重の次男・秀種を娘婿にし、跡継ぎとした。,0,0,0
1170,六角,定頼,83,60,77,95,93,143,188,408,-,ろっかく,さだより,1495年,1510年,1552年,58,-,天下統一,太鼓持ち,名将,囮挑発,勲功,8,-,六角定頼,近江の戦国大名。近江に逃れた将軍・足利義晴を支援した。楽市楽座の創始や、一国一城令の先駆をなす「城割り」を初めて行った人物として著名。,0,0,0
1171,武田,義統,62,59,49,44,43,121,87,257,武田信豊,たけだ,よしずみ,1526年,1541年,1567年,42,-,領地保全,用心,斥候,神出鬼没,家名,5,-,武田義統,若狭守護。信豊の子。父と和睦したあとに家督を継ぐ。のち義弟・足利義昭が頼ってくるが、内紛が相次いでいたため、義昭を奉じての上洛は果たせなかった。,1,0,0
1172,赤井,時家,63,63,64,51,57,126,108,298,-,あかい,ときいえ,1494年,1509年,1581年,88,-,家名存続,突撃,速攻,全軍突撃,実利,6,-,赤井時家,丹波の豪族。越前守を称した。丹波守護代・内藤家に所領を追われ、一時的に播磨に逃れるが、のちに復帰した。次男・直正は赤井家庶流の荻野家を継いだ。,0,0,0
1173,内藤,国貞,55,42,52,42,44,97,86,235,-,ないとう,くにさだ,1494年,1509年,1553年,60,-,所領拡大,用心,斥候,神出鬼没,家名,11,-,内藤国貞,管領細川家臣。丹波守護代。細川氏綱・三好長慶と結んで主君・晴元と争う。のち松永久秀らとともに晴元方の波多野晴通を攻めるが、晴元軍に敗れ戦死した。,0,0,0
1174,柳沢,元政,53,56,72,75,84,109,159,340,-,やなぎさわ,もとまさ,1536年,1551年,1613年,78,-,家名存続,太鼓持ち,万全,囮挑発,勲功,7,-,柳沢元政,足利家臣。義晴・義輝・義昭の三代に仕える。織田信長によって義昭が京を追放されると共に備後へ移る。義昭の庇護を受ける代わりに、毛利家に出仕した。,0,0,0
1175,楠木,正虎,33,29,55,83,69,62,152,269,-,くすのき,まさとら,1520年,1535年,1596年,77,-,領地保全,気勢崩し,堅固,囮挑発,家名,10,-,楠木正虎,足利家臣。当代随一の書家。楠木正成の末裔を称する。主君・義輝が討たれると松永久秀に仕えた。のち織田信長、そして豊臣秀吉の右筆を歴任した。,0,0,0
1176,本願寺,証如,68,26,70,85,87,94,172,336,-,ほんがんじ,しょうにょ,1516年,1525年,1554年,39,-,往生極楽,死兵,万全,囮挑発,才覚,4,-,本願寺証如,本願寺１０世法主。日蓮宗徒と六角定頼に山科本願寺を焼き討ちされ、石山本願寺に本山を移した。蓮如の書状を集めて出版し、諸方の末寺や門徒に配った。,0,0,1
1177,三淵,晴員,51,38,73,65,71,89,136,298,細川元有,みつぶち,はるかず,1500年,1515年,1570年,71,-,所領拡大,足止め,回避,神出鬼没,家名,7,-,三淵晴員,足利家臣。細川藤孝の父。義晴・義輝・義昭の３代に仕える。義晴・義輝が細川晴元に攻められた際、二人を近江の坂本へ逃がした。,1,0,0
1178,細川,藤賢,44,38,68,63,67,82,130,280,細川尹賢,ほそかわ,ふじかた,1517年,1532年,1590年,74,-,所領拡大,気勢崩し,堅固,囮挑発,家名,8,-,細川藤賢,典厩細川家当主。織田信長に擁され上洛した足利義昭に属す。義昭と信長が対立した際は挙兵を諫めるが、のち義昭とともに戦い敗北。その後は信長に仕えた。,1,0,0
1179,細川,元常,58,51,59,72,67,109,139,307,細川元有,ほそかわ,もとつね,1482年,1497年,1554年,73,-,領地保全,用心,斥候,神出鬼没,家名,5,-,細川元常,細川家臣。細川澄元・高国の争いでは澄元に属し、和泉半国守護を罷免される。澄元の死後は晴元（澄元の子）に属し、晴元の家督相続後、守護に復帰した。,1,0,0
1180,細川,持隆,53,48,57,72,66,101,138,296,-,ほそかわ,もちたか,1497年,1512年,1553年,57,-,家名存続,臨戦,万全,囮挑発,家名,7,-,細川持隆,阿波守護。播磨守護・赤松晴政の要請により尼子晴久と備中で戦うが敗れる。のち足利義栄を擁し入京を試みるが、家臣の三好実休と対立し、実休に殺された。,0,0,0
1181,細川,氏綱,54,39,62,52,57,93,109,264,細川尹賢,ほそかわ,うじつな,1514年,1531年,1563年,50,-,所領拡大,足止め,回避,神出鬼没,家名,4,-,細川氏綱,室町幕府最後の管領。三好長慶らに擁立され、細川晴元と争う。晴元が近江に逃れたあとに入京し、管領に就任した。のち山城淀城に移され、同城で死去した。,1,0,0
1182,香川,元景,53,56,65,61,64,109,125,299,-,かがわ,もとかげ,1498年,1513年,1552年,55,-,領地保全,激励,堅固,囮挑発,才覚,8,-,香川元景,細川家臣。満景の子。細川家の家督を巡って澄元と高国が争った際は、高国を支持した。高国の没落後は澄元の子・晴元に属すなど、香川家の存続に尽力した。,0,0,0
1183,香西,元成,52,50,45,48,44,102,92,239,香西元定,こうざい,もとなり,1518年,1533年,1560年,43,-,領地保全,用心,斥候,神出鬼没,才覚,2,-,香西元成,細川家臣。三好長慶が主君・晴元を追放したあと、政権回復を目指し戦う。波多野晴通を援護して松永久秀を破るなど活躍したが、三好家との戦いで戦死した。,1,0,0
1184,十河,存春,61,63,51,67,59,124,126,301,-,そごう,まさはる,1510年,1525年,1559年,50,-,家名存続,突撃,速攻,全軍突撃,勲功,3,-,十河存春,讃岐の豪族。大永～享禄年間の人。子・金光が早世したため、三好元長の四男・一存を養子に迎えた。十河家は讃岐山田郡を支配していた植田家の支族という。,0,0,0
1185,三好,政長,45,41,57,55,56,86,111,254,-,みよし,まさなが,1508年,1523年,1549年,42,-,所領拡大,足止め,回避,神出鬼没,実利,9,-,三好政長,細川家臣。摂津榎並城主。主君・晴元の側近として各地の合戦で活躍する。のちに一族の三好長慶と対立してたびたび合戦におよび、摂津江口合戦で敗死した。,0,0,0
1186,畠山,高政,35,40,51,28,34,75,62,188,畠山政国,はたけやま,たかまさ,1527年,1542年,1576年,50,-,所領拡大,臨戦,万全,囮挑発,家名,6,-,畠山高政,河内守護。政国の子。三好家と和戦を繰り返した。のちに織田信長に降って河内半国を与えられるが、家臣・遊佐信教との争いに敗北し、紀伊岩室城に逃れた。,1,0,0
1187,畠山,昭高,52,57,54,66,60,109,126,289,畠山政国,はたけやま,あきたか,1545年,1560年,1573年,29,-,所領拡大,急襲,復帰,囮挑発,家名,6,-,畠山昭高,河内畠山家当主。高屋城主。政国の子。兄・高政が遊佐信教らに追放されたあと信教らに擁立されて家督を継ぐ。のちに信教の暗殺をはかるが、逆に殺された。,1,0,0
1188,柳生,家厳,66,74,41,56,46,140,102,283,-,やぎゅう,いえよし,1497年,1512年,1585年,89,-,家名存続,急襲,猛攻,全軍突撃,芸道,7,-,柳生家厳,大和の豪族。剣豪・宗厳の父。筒井順昭に攻められて、筒井家に属した。三好家の松永久秀が大和国に進出すると、三好方に寝返って筒井家と戦った。,0,0,0
1189,筒井,順政,55,29,59,69,65,84,134,277,筒井順興,つつい,じゅんせい,1524年,1539年,1564年,41,-,所領拡大,太鼓持ち,万全,囮挑発,家名,6,-,筒井順政,順興の次男。兄・順昭の死後、その嫡子である順慶が後を継ぐが、幼い順慶を補佐する後見となる。のちに島清興と共に三好家と争い、敗れて領国を追われた。,1,0,0
1190,越智,家増,53,70,38,35,31,123,66,227,-,おち,いえます,1519年,1534年,1577年,59,-,領地保全,突撃,速攻,全軍突撃,勲功,7,-,越智家増,大和の国人。家増は大和の国衆で、家栄の三男。家広の弟という。はじめ楢原姓を名乗った。市尾深介に命じて甥・家高を謀殺し、越智家の惣領となった。,0,0,0
1191,十市,遠勝,51,61,59,39,46,112,85,256,十市遠忠,とおち,とおかつ,1530年,1545年,1569年,40,-,領地保全,突撃,速攻,全軍突撃,家名,7,-,十市遠勝,大和の国衆。遠忠の子。筒井家に属すが松永久秀に降った。三好三人衆と久秀が対立すると、三好方に属して内部分裂を起こす。久秀の攻勢に押され降服した。,1,0,0
1192,果心,居士,29,26,90,32,61,55,93,238,-,かしん,こじ,1524年,1539年,1619年,96,-,家名存続,忍法雲隠,伏兵,神出鬼没,芸道,8,-,果心居士,正体不明の術師。松永久秀の前でその死んだ妻に化けたり、笹を魚に変えるなど様々な術を使った。のち豊臣秀吉により磔となるが、鼠に化けて逃げたという。,0,0,0
1193,湯川,直光,36,54,46,50,45,90,95,231,-,ゆかわ,なおみつ,1516年,1528年,1562年,47,-,所領拡大,突撃,速攻,全軍突撃,家名,5,-,湯川直光,紀伊の豪族。湯川家は甲斐武田家の庶流で、紀伊国人衆の旗頭として活躍した家柄。河内畠山家に属して三好家と戦うが敗れ、一族の者多数とともに戦死した。,0,0,0
1194,土橋,重治,56,52,49,54,50,108,104,261,土橋重隆,つちばし,しげはる,1526年,1541年,1595年,70,-,領地保全,死兵,斥候,全軍突撃,家名,6,-,土橋重治,紀伊の豪族。兄・守重を殺した鈴木重朝とともに豊臣秀吉に招かれるが、応じなかった。のち徳川家を経て北条家に仕える。北条家の滅亡後は毛利家に仕えた。,1,0,0
1195,的場,昌長,53,77,68,37,50,130,87,285,-,まとば,まさなが,1550年,1565年,1599年,50,-,領地保全,死兵,斥候,全軍突撃,実利,7,-,的場昌長,紀州の豪族。石山合戦で本願寺家に与して織田軍を破り、勇名を馳せる。狙撃・撤退を繰り返す戦術を得意とし、「小雲雀(こひばり)」の異名で恐れられた。,0,0,0
1196,佐武,義昌,73,63,73,60,67,136,127,336,-,さたけ,よしまさ,1538年,1551年,1620年,83,-,家名存続,挟撃巧者,疾走,神出鬼没,勲功,8,-,佐武義昌,紀州の豪族。石山合戦で鈴木重秀と共に本願寺家に与し、織田軍を翻弄して武名を轟かせる。雑賀で内紛が起こった際、窮地に陥った重秀を救った。,0,0,0
1197,奥,重政,69,63,72,69,72,132,141,345,-,おく,しげまさ,1560年,1575年,1612年,53,-,所領拡大,急襲,復帰,囮挑発,才覚,8,-,奥重政,紀州の豪族。津田算正・算長父子に砲術を学び、数年で奥義を極めると、織田信長や羽柴秀吉を苦しめた。のち浅野幸長に請われ、津田流砲術を伝授した。,0,0,0
1198,杉谷,善住坊,42,74,62,24,31,116,55,233,-,すぎたに,ぜんじゅうぼう,1531年,1546年,1573年,43,-,所領拡大,遠当て,闇討,森林強襲,勲功,9,-,杉谷善住坊,甲賀の忍者。鉄砲の名手。六角義賢に依頼され、甲賀の郷を滅ぼした織田信長を狙撃するが失敗する。のち磯野員昌に捕らえられ、処断された。,0,0,0
1199,衣笠,範景,55,62,49,54,50,117,104,270,-,きぬがさ,のりかげ,1517年,1532年,1585年,69,-,領地保全,突撃,速攻,全軍突撃,家名,7,-,衣笠範景,別所家臣。衣笠城主。衣笠家は赤松家の庶流。一時三好長慶に属して各地を転戦した。羽柴秀吉の中国侵攻軍と戦い、敗北。野に下ったとも戦死したともいう。,0,0,0
1200,中村,忠滋,56,58,74,73,75,114,148,336,-,なかむら,ただしげ,1548年,1563年,1598年,51,-,家名存続,足止め,回避,神出鬼没,仁義,4,-,中村忠滋,別所家臣。娘を人質に出すことで、羽柴軍を騙し討ちにして撃退した。三木城が落城した後、娘を犠牲にするほどの忠義を評価され、秀吉に召し抱えられた。,0,0,0
1201,久米,五郎,54,71,58,60,59,125,119,302,-,くめ,ごろう,1529年,1544年,1579年,51,-,所領拡大,突撃,速攻,全軍突撃,仁義,5,-,久米五郎,別所家臣。三木合戦の際、三木城に籠城した。敗色濃厚となると、敵軍に紛れて羽柴秀吉の陣に潜入。秀吉に切り掛かるが取り押さえられ、討死した。,0,0,0
1202,神吉,頼定,58,69,62,67,66,127,133,322,-,かんき,よりさだ,1529年,1541年,1578年,50,-,領地保全,突撃,速攻,全軍突撃,勲功,4,-,神吉頼定,別所家臣。神吉城主。神吉家は赤松家の庶流。羽柴秀吉の中国侵攻軍に対して頑強に抵抗したが、敗れて戦死。居城は焼け落ち、将兵の大半が焼死したという。,0,0,0
1203,有馬,重則,50,71,34,34,28,121,62,217,-,ありま,しげのり,1513年,1528年,1567年,55,-,領地保全,突撃,速攻,全軍突撃,才覚,8,-,有馬重則,播磨の豪族。はじめ摂津有馬郡に住んだが、のちに播磨に移った。有馬家は、有馬郡の地頭職に任ぜられた赤松義祐を始祖とする、赤松家の庶流である。,0,0,0
1204,小寺,則職,30,39,59,62,62,69,124,252,-,こでら,のりもと,1495年,1510年,1576年,82,-,家名存続,気勢崩し,堅固,囮挑発,実利,10,-,小寺則職,赤松家臣。御着城主。主君・義村の命で浦上村宗の支城・岩屋城を攻めるが敗れる。この直後、義村は村宗に殺された。のちに村宗を討ち、主君の敵をとった。,0,0,0
1205,黒田,重隆,43,62,73,75,76,105,151,329,-,くろだ,しげたか,1508年,1523年,1564年,57,-,所領拡大,激励,堅固,囮挑発,家名,8,-,黒田重隆,播磨の豪族。備前福岡から播磨姫路に移り住む。「玲珠膏」と名付けた目薬を売って財力を蓄え、子・職隆を小寺家に出仕させるなど、黒田家の土台を作った。,0,0,0
1206,浦上,政宗,51,60,46,45,42,111,87,244,浦上村宗,うらがみ,まさむね,1525年,1531年,1564年,40,-,所領拡大,臨戦,万全,囮挑発,家名,7,-,浦上政宗,赤松家臣。室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携強化を企むが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,1,0,0
1207,中山,信正,40,42,49,41,42,82,83,214,-,なかやま,のぶまさ,1510年,1525年,1559年,50,-,領地保全,臨戦,万全,囮挑発,実利,5,-,中山信正,浦上家臣。亀山城主。娘は宇喜多直家に嫁いだ。のちに島村盛実と談合して謀叛を企んだとの風聞により、主君・宗景の命を受けた娘婿・直家により殺された。,0,0,0
